test,t_s,speed_mps,z_m,roll_deg,pitch_deg,yaw_rate_or_tilt
full_torque,25.00,5.582,-28.047,118.98,21.50,0.457
full_torque,26.00,6.075,-29.304,120.60,16.03,0.458
full_torque,27.00,6.291,-29.954,118.80,25.71,0.269
full_torque,28.00,5.661,-29.738,91.60,24.84,0.193
full_torque,29.00,3.038,-26.346,93.44,18.12,0.198
free_float,0.00,1.813,-22.184,89.79,31.78,0.378
free_float,1.00,1.695,-22.211,113.97,26.32,0.398
free_float,2.00,3.320,-26.417,129.32,31.12,0.309
free_float,3.00,4.333,-30.835,150.61,23.33,0.296
free_float,4.00,3.537,-35.415,152.62,11.20,0.355
free_float,5.00,4.284,-40.127,141.12,23.63,0.219
free_float,6.00,5.783,-42.659,115.77,23.56,0.240
free_float,7.00,4.249,-41.552,99.47,14.19,0.043
free_float,8.00,3.420,-37.368,97.70,14.66,0.117
free_float,9.00,2.521,-32.362,96.68,14.44,0.116
free_float,10.00,2.447,-27.028,92.07,11.48,0.092
free_float,11.00,1.368,-23.268,99.47,19.70,0.042
free_float,12.00,1.234,-22.971,110.03,27.22,0.045
free_float,13.00,3.033,-25.846,124.18,28.67,0.026
free_float,14.00,4.297,-28.313,127.01,23.58,0.190
free_float,15.00,2.546,-28.358,124.36,21.48,0.137
free_float,16.00,3.521,-28.457,116.49,17.56,0.158
free_float,17.00,3.383,-29.347,113.94,18.12,0.111
free_float,18.00,2.924,-30.048,118.26,16.39,0.300
free_float,19.00,4.187,-28.845,109.46,14.88,0.159
free_float,20.00,4.309,-26.951,92.07,17.04,0.130
free_float,21.00,1.919,-25.203,96.85,15.87,0.113
free_float,22.00,2.426,-24.580,101.35,17.08,0.087
free_float,23.00,4.089,-24.106,97.03,27.19,0.124
free_float,24.00,4.677,-24.841,99.39,23.02,0.125
free_float,25.00,5.208,-25.824,103.25,26.47,0.124
free_float,26.00,4.541,-26.005,96.95,22.15,0.107
free_float,27.00,4.339,-25.333,99.09,28.57,0.141
free_float,28.00,2.300,-25.079,105.08,29.38,0.076
free_float,29.00,4.275,-25.779,96.12,13.26,0.080
turn_sweep,0.00,,-26.034,96.33,16.29,87.118
turn_sweep,1.00,,-25.274,93.89,14.73,93.021
turn_sweep,2.00,,-23.942,93.95,18.55,87.723
turn_sweep,3.00,,-24.135,94.63,26.40,106.661
turn_sweep,4.00,,-25.179,122.51,36.37,120.415
turn_sweep,5.00,,-27.755,155.94,29.31,137.564
turn_sweep,6.00,,-31.570,120.97,33.22,130.175
turn_sweep,7.00,,-34.116,108.72,18.02,108.773
turn_sweep,8.00,,-32.783,91.64,18.46,92.471
turn_sweep,9.00,,-28.025,96.73,16.49,95.482
turn_sweep,10.00,,-24.051,100.90,30.62,107.250
turn_sweep,11.00,,-23.232,124.25,31.18,113.727
turn_sweep,12.00,,-25.927,140.17,30.14,138.084
turn_sweep,13.00,,-30.899,164.64,28.19,145.903
turn_sweep,14.00,,-36.141,162.19,14.61,155.249
turn_sweep,15.00,,-41.198,149.83,22.96,140.073
turn_sweep,16.00,,-44.956,132.61,24.31,121.183
turn_sweep,17.00,,-45.368,96.14,32.13,98.176
turn_sweep,18.00,,-42.471,94.85,17.02,95.684
turn_sweep,19.00,,-37.748,88.75,15.23,83.684
turn_sweep,20.00,,-31.949,88.17,23.02,99.133
turn_sweep,21.00,,-27.647,106.35,23.70,104.896
turn_sweep,22.00,,-26.303,118.96,17.04,117.288
turn_sweep,23.00,,-26.578,136.94,27.62,132.064
turn_sweep,24.00,,-29.308,153.57,23.39,139.462
turn_sweep,25.00,,-33.121,144.87,12.06,136.300
turn_sweep,26.00,,-35.148,131.04,31.39,104.752
turn_sweep,27.00,,-33.987,97.02,25.70,105.161
turn_sweep,28.00,,-30.831,90.86,30.06,94.009
turn_sweep,29.00,,-28.247,103.93,11.27,99.825
