test,t_s,speed_mps,z_m,roll_deg,pitch_deg,yaw_rate_or_tilt
turn_sweep,0.00,,-0.597,0.16,0.02,0.159
turn_sweep,1.00,,-0.603,0.18,0.92,0.936
turn_sweep,2.00,,-0.598,0.58,0.76,0.957
turn_sweep,3.00,,-0.597,1.43,0.84,1.661
turn_sweep,4.00,,-0.603,1.57,0.82,1.774
turn_sweep,5.00,,-0.597,1.17,0.76,1.394
turn_sweep,6.00,,-0.598,1.03,0.77,1.285
turn_sweep,7.00,,-0.602,1.21,0.80,1.449
turn_sweep,8.00,,-0.597,1.31,0.80,1.533
turn_sweep,9.00,,-0.600,1.24,0.78,1.463
turn_sweep,10.00,,-0.601,1.17,0.78,1.410
turn_sweep,11.00,,-0.597,1.20,0.79,1.436
turn_sweep,12.00,,-0.601,1.24,0.79,1.467
turn_sweep,13.00,,-0.600,1.23,0.79,1.459
turn_sweep,14.00,,-0.597,1.21,0.79,1.442
turn_sweep,15.00,,-0.601,1.21,0.79,1.443
turn_sweep,16.00,,-0.599,1.22,0.79,1.452
turn_sweep,17.00,,-0.598,1.22,0.79,1.453
turn_sweep,18.00,,-0.601,1.22,0.79,1.448
turn_sweep,19.00,,-0.598,1.21,0.79,1.447
turn_sweep,20.00,,-0.599,1.22,0.79,1.449
turn_sweep,21.00,,-0.601,1.22,0.79,1.450
turn_sweep,22.00,,-0.598,1.22,0.79,1.449
turn_sweep,23.00,,-0.599,1.22,0.79,1.449
turn_sweep,24.00,,-0.600,1.22,0.79,1.449
turn_sweep,25.00,,-0.598,1.22,0.79,1.449
turn_sweep,26.00,,-0.600,1.22,0.79,1.449
turn_sweep,27.00,,-0.600,1.22,0.79,1.449
turn_sweep,28.00,,-0.598,1.22,0.79,1.449
turn_sweep,29.00,,-0.600,1.22,0.79,1.449
